city	x	y
0	0	0
5000	320	652
5001	108	185
5002	954	199
5003	911	642
5004	314	272
5005	797	515
5006	31	406
5007	60	398
5008	360	82
5009	632	660
5010	754	925
5011	344	587
5012	662	851
5013	325	171
5014	612	116
5015	138	304
5016	798	299
5017	574	30
5018	575	214
5019	126	496
5020	823	895
5021	102	249
5022	423	307
5023	172	690
5024	441	144
5025	574	770
5026	110	337
5027	803	58
5028	310	58
5029	104	543
5030	820	327
5031	329	263
5032	458	762
5033	675	26
5034	324	471
5035	630	934
5036	294	119
5037	408	92
5038	40	243
5039	770	783
5040	586	221
5041	551	528
5042	638	864
5043	608	8
5044	42	633
5045	363	393
5046	870	121
5047	48	842
5048	766	985
5049	2	856
5050	699	845
5051	202	791
5052	101	247
5053	67	601
5054	680	689
5055	738	626
5056	313	571
5057	987	906
5058	790	462
5059	798	530
5060	834	972
5061	388	840
5062	970	69
5063	840	908
5064	399	608
5065	498	545
5066	757	586
5067	231	660
5068	825	57
5069	374	439
5070	825	399
5071	489	108
5072	722	610
5073	21	719
5074	712	34
5075	542	695
5076	194	282
5077	776	549
5078	873	914
5079	265	174
5080	881	833
5081	294	724
5082	374	464
5083	391	702
5084	212	960
5085	311	750
5086	391	65
5087	86	156
5088	405	243
5089	81	277
5090	29	477
5091	818	651
5092	951	966
5093	872	875
5094	392	679
5095	15	55
5096	604	616
5097	832	140
5098	478	440
5099	194	49
5100	39	782
5101	75	441
5102	519	679
5103	718	420
5104	456	750
5105	545	683
5106	110	929
5107	624	496
5108	673	479
5109	596	417
5110	701	101
5111	951	990
5112	47	281
5113	665	870
5114	809	409
5115	244	18
5116	760	584
5117	373	196
5118	627	593
5119	339	972
5120	490	677
5121	536	915
5122	650	697
5123	144	109
5124	360	693
5125	476	397
5126	66	809
5127	721	64
5128	93	798
5129	927	799
5130	418	680
5131	540	665
5132	682	717
5133	916	214
5134	52	740
5135	239	616
5136	268	381
5137	721	659
5138	778	167
5139	924	808
5140	145	147
5141	485	880
5142	335	672
5143	801	971
5144	622	559
5145	772	782
5146	93	412
5147	96	386
5148	468	985
5149	708	983
5150	535	280
5151	954	543
5152	816	163
5153	965	338
5154	759	559
5155	406	884
5156	174	244
5157	732	310
5158	751	804
5159	131	932
5160	160	646
5161	440	993
5162	892	866
5163	267	477
5164	218	632
5165	785	979
5166	445	327
5167	584	503
5168	493	320
5169	11	953
5170	976	677
5171	315	867
5172	304	955
5173	1	344
5174	570	229
5175	504	225
5176	450	318
5177	332	802
5178	253	762
5179	887	728
5180	964	791
5181	64	11
5182	465	31
5183	851	297
5184	669	80
5185	506	463
5186	412	847
5187	753	484
5188	112	421
5189	308	459
5190	564	203
5191	918	973
5192	707	882
5193	496	142
5194	954	621
5195	60	320
5196	973	38
5197	727	594
5198	987	458
5199	548	710
5200	351	253
5201	733	824
5202	498	845
5203	239	522
5204	37	924
5205	1	739
5206	591	207
5207	230	208
5208	83	335
5209	796	382
5210	372	918
5211	257	6
5212	114	245
5213	620	886
5214	608	614
5215	902	289
5216	190	891
5217	11	435
5218	781	898
5219	992	629
5220	961	932
5221	220	22
5222	376	966
5223	724	685
5224	675	598
5225	841	639
5226	799	56
5227	532	81
5228	883	544
5229	304	812
5230	644	122
5231	183	348
5232	914	14
5233	586	498
5234	329	383
5235	865	73
5236	866	959
5237	308	707
5238	821	759
5239	561	639
5240	237	45
5241	478	403
5242	701	529
5243	491	45
5244	564	502
5245	304	328
5246	567	863
5247	432	82
5248	998	236
5249	64	676
5250	876	63
5251	921	347
5252	940	561
5253	175	555
5254	25	932
5255	806	947
5256	27	352
5257	888	550
5258	942	792
5259	780	539
5260	224	696
5261	367	171
5262	467	162
5263	62	508
5264	715	325
5265	16	922
5266	10	721
5267	546	534
5268	846	626
5269	792	2
5270	772	940
5271	524	695
5272	464	968
5273	823	388
5274	808	233
5275	646	346
5276	851	892
5277	222	264
5278	746	936
5279	725	389
5280	644	65
5281	176	898
5282	431	870
5283	43	840
5284	730	269
5285	31	706
5286	656	720
5287	676	988
5288	715	758
5289	750	819
5290	767	261
5291	635	619
5292	443	115
5293	88	828
5294	688	968
5295	775	267
5296	500	560
5297	155	403
5298	296	877
5299	742	216
5300	118	236
5301	275	329
5302	920	745
5303	543	690
5304	819	832
5305	685	249
5306	91	614
5307	943	936
5308	559	991
5309	531	201
5310	681	400
5311	781	713
5312	947	814
5313	807	60
5314	775	1000
5315	783	4
5316	389	46
5317	670	862
5318	140	314
5319	76	941
5320	329	712
5321	68	801
5322	667	975
5323	933	670
5324	591	163
5325	638	746
5326	749	709
5327	702	735
5328	852	492
5329	756	732
5330	473	871
5331	301	481
5332	912	715
5333	809	833
5334	587	635
5335	825	824
5336	894	519
5337	444	236
5338	676	43
5339	107	693
5340	0	217
5341	697	226
5342	528	699
5343	423	596
5344	91	95
5345	377	8
5346	27	641
5347	349	984
5348	68	831
5349	616	472
5350	944	263
5351	566	912
5352	544	744
5353	389	181
5354	575	679
5355	314	991
5356	413	278
5357	538	436
5358	66	242
5359	971	670
5360	897	687
5361	890	561
5362	529	988
5363	772	762
5364	232	565
5365	396	645
5366	451	956
5367	734	192
5368	61	807
5369	248	56
5370	91	121
5371	290	986
5372	124	89
5373	347	361
5374	231	785
